iter	Passed	Remaining
455	936	1117
456	937	1114
457	943	1116
458	946	1115
459	950	1115
460	951	1113
461	955	1112
462	956	1109
463	957	1106
464	958	1103
465	963	1103
466	964	1100
467	965	1097
468	970	1098
469	972	1096
470	974	1094
471	975	1091
472	976	1087
473	977	1084
474	978	1081
475	980	1079
476	982	1076
477	983	1073
478	984	1070
479	987	1070
480	989	1068
481	991	1065
482	996	1066
483	997	1063
484	999	1061
485	1001	1058
486	1002	1055
487	1003	1052
488	1004	1049
489	1006	1047
490	1007	1044
491	1016	1049
492	1020	1049
493	1021	1046
494	1022	1043
495	1023	1040
496	1026	1038
497	1027	1035
498	1028	1032
499	1029	1029
500	1032	1028
501	1035	1026
502	1039	1026
503	1042	1026
504	1046	1025
505	1047	1022
506	1049	1020
507	1054	1021
508	1061	1023
509	1066	1024
510	1073	1027
511	1075	1024
512	1079	1024
513	1081	1022
514	1087	1024
515	1093	1025
516	1100	1027
517	1106	1029
518	1111	1030
519	1113	1028
520	1115	1025
521	1118	1023
522	1119	1021
523	1121	1018
524	1126	1019
525	1132	1020
526	1134	1018
527	1138	1017
528	1139	1014
529	1141	1011
530	1144	1010
531	1145	1007
532	1146	1004
533	1147	1001
534	1153	1002
535	1155	1000
536	1159	999
537	1160	996
538	1161	993
539	1165	992
540	1166	989
541	1167	986
542	1168	983
543	1172	982
544	1173	979
545	1175	977
546	1177	975
547	1178	972
548	1179	969
549	1183	968
550	1185	965
551	1186	962
552	1190	961
553	1191	959
554	1192	956
555	1196	955
556	1197	952
557	1203	953
558	1204	950
559	1205	947
560	1208	945
561	1210	943
562	1211	940
563	1215	939
564	1217	937
565	1220	935
566	1223	934
567	1227	933
568	1228	930
569	1230	928
570	1232	926
571	1234	923
572	1235	920
573	1236	917
574	1240	916
575	1241	913
576	1242	910
577	1243	908
578	1245	905
579	1246	902
580	1248	900
581	1249	897
582	1251	895
583	1253	892
584	1254	889
585	1255	886
586	1256	883
587	1258	881
588	1260	879
589	1261	876
590	1262	873
591	1264	871
592	1265	868
593	1266	865
594	1267	862
595	1269	860
596	1271	858
597	1272	855
598	1273	852
599	1274	849
600	1275	846
601	1277	844
602	1278	841
603	1280	839
604	1280	836
605	1281	833
606	1284	831
607	1285	828
608	1286	825
609	1291	825
610	1292	822
611	1293	819
612	1294	817
613	1295	814
614	1297	812
615	1298	809
616	1300	807
617	1301	804
618	1304	802
619	1305	799
620	1306	797
621	1307	794
622	1308	791
623	1310	789
624	1311	787
625	1312	784
626	1314	781
627	1314	778
628	1320	779
629	1324	777
630	1325	774
631	1326	772
632	1327	769
633	1329	767
634	1330	764
635	1331	762
636	1332	759
637	1333	756
638	1335	754
639	1336	752
640	1337	749
641	1339	746
642	1340	744
643	1344	743
644	1345	740
645	1346	737
646	1347	735
647	1350	733
648	1351	730
649	1352	728
650	1353	725
651	1355	723
652	1356	721
653	1358	718
654	1359	716
655	1364	715
656	1367	713
657	1371	712
658	1372	710
659	1373	707
660	1377	706
661	1378	703
662	1379	701
663	1384	700
664	1385	698
665	1386	695
666	1391	694
667	1392	691
668	1393	689
669	1397	688
670	1398	685
671	1403	684
672	1404	682
673	1406	680
674	1410	679
675	1411	676
676	1412	674
677	1418	673
678	1424	673
679	1425	670
680	1426	668
681	1431	667
682	1432	664
683	1434	662
684	1436	660
685	1437	657
686	1438	655
687	1441	653
688	1442	651
689	1444	648
690	1445	646
691	1448	644
692	1450	642
693	1454	641
694	1455	638
695	1456	636
696	1461	635
697	1462	632
698	1463	630
699	1465	628
700	1468	626
701	1469	623
702	1471	621
703	1473	619
704	1474	617
705	1475	614
706	1477	612
707	1479	610
708	1480	607
709	1485	606
710	1486	604
711	1487	601
712	1491	600
713	1493	598
714	1495	596
715	1496	593
716	1497	591
717	1501	589
718	1508	589
719	1509	587
720	1510	584
721	1511	582
722	1514	580
723	1516	577
724	1517	575
725	1523	575
726	1527	573
727	1529	571
728	1530	568
729	1534	567
730	1536	565
731	1537	562
